Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Recovery learning of robot operational skills based on Gaussian process,Intelligent Service Robotics,,,,10.1007/s11370-025-00629-7,Yinggang ZhouLihua Jiang,2025,https://link.springer.com/article/10.1007/s11370-025-00629-7,Article
A trajectory-level robot skill learning method based on fuzzy systems,Science China Information Sciences,,,,10.1007/s11432-024-4322-6,Chao ZengZhen DengBoyang TiYongsheng Gao,2025,https://link.springer.com/article/10.1007/s11432-024-4322-6,Article
"A process-centric manipulation taxonomy for the organization, classification and synthesis of tactile robot skills",Nature Machine Intelligence,,,,10.1038/s42256-025-01045-3,Lars JohannsmeierSamuel SchneiderYanan LiEtienne BurdetSami Haddadin,2025,https://link.springer.com/article/10.1038/s42256-025-01045-3,Article
Task-oriented adaptive learning of robot manipulation skills,Artificial Life and Robotics,,,,10.1007/s10015-025-01036-y,Kexin JinGuohui TianBin HuangYongcheng CuiXiaoyu Zheng,2025,https://link.springer.com/article/10.1007/s10015-025-01036-y,Article
ARA-DRL: robot skill deep reinforcement learning based on analogical reasoning and self-attention,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02784-w,Yunchuan ZhangMuqun GaoWenbai ChenPeiliang Wu,2025,https://link.springer.com/article/10.1007/s13042-025-02784-w,Article
A Code-Free Interactive Task Programming Interface for Robot Skill Construction,Arabian Journal for Science and Engineering,,,,10.1007/s13369-024-09592-4,Ning ZhangYongjia ZhaoShuling Dai,2024,https://link.springer.com/article/10.1007/s13369-024-09592-4,Article
Concept for the automated adaption of abstract planning domains for specific application cases in skills-based industrial robotics,Journal of Intelligent Manufacturing,,,,10.1007/s10845-023-02211-3,Lisa HeussDaniel GebauerGunther Reinhart,2023,https://link.springer.com/article/10.1007/s10845-023-02211-3,Article
Enabling Generic Robot Skill Implementation Using Object Oriented Programming,Advances in Service and Industrial Robotics,,,,10.1007/978-3-032-02106-9_47,Abdullah FarrukhAchim WagnerMartin Ruskowski,2025,https://link.springer.com/chapter/10.1007/978-3-032-02106-9_47,Conference paper
An Perception Enhanced Human-Robot Skill Transfer Method for&#xa0;Reactive Interaction,Towards Autonomous Robotic Systems,,,,10.1007/978-3-031-72062-8_6,Weiyong SiJiale DongNing WangChenguang Yang,2025,https://link.springer.com/chapter/10.1007/978-3-031-72062-8_6,Conference paper
Dynamic Movement Primitives Based Robot Skills Learning,Machine Intelligence Research,,,,10.1007/s11633-022-1346-z,Ling-Huan KongWei HeWen-Shi ChenHui ZhangYao-Nan Wang,2023,https://link.springer.com/article/10.1007/s11633-022-1346-z,Article
Sustainable Transfer Learning for&#xa0;Adaptive Robot Skills,Advances in Service and Industrial Robotics,,,,10.1007/978-3-032-02106-9_43,Khalil AbuibaidVinit HegisteNigora GafurAchim WagnerMartin Ruskwoski,2025,https://link.springer.com/chapter/10.1007/978-3-032-02106-9_43,Conference paper
Utilizing Large Language Models for&#xa0;Robot Skill Reward Shaping in&#xa0;Reinforcement Learning,Intelligent Robotics and Applications,,,,10.1007/978-981-96-0783-9_1,Qi GuoXing LiuJianjiang HuiZhengxiong LiuPanfeng Huang,2025,https://link.springer.com/chapter/10.1007/978-981-96-0783-9_1,Conference paper
A Constrained DMP Framework for&#xa0;Robot Skills Learning and Generalization from Human Demonstrations,Advanced Teleoperation and Robot Learning for Dexterous Manipulation,,,,10.1007/978-3-031-78501-6_6,Chenguang YangZhenyu LuNing Wang,2025,https://link.springer.com/chapter/10.1007/978-3-031-78501-6_6,Chapter
Learning Hierarchical Robot Skills Represented by&#xa0;Behavior Trees from&#xa0;Natural Language,Cooperative Information Systems,,,,10.1007/978-3-031-46846-9_20,Kaiyi WangYongjia ZhaoShuling DaiMinghao YangYichen HeNing Zhang,2024,https://link.springer.com/chapter/10.1007/978-3-031-46846-9_20,Conference paper
Reactive Anticipatory Robot Skills with&#xa0;Memory,Robotics Research,,,,10.1007/978-3-031-25555-7_30,Hakan GirginJulius JankowskiSylvain Calinon,2023,https://link.springer.com/chapter/10.1007/978-3-031-25555-7_30,Conference paper
Towards Large-Space Manipulation Skills Learning with Mobile Manipulator,"Advances in Mechanism, Machine Science and Engineering in China",,,,10.1007/978-981-19-9398-5_129,Yuqiang WuZhiwei LiaoChenwei GongFei Zhao,2023,https://link.springer.com/chapter/10.1007/978-981-19-9398-5_129,Conference paper
Robot Skill Generalization via&#xa0;Keypoint Integrated Soft Actor-Critic Gaussian Mixture Models,Experimental Robotics,,,,10.1007/978-3-031-63596-0_15,Iman NematollahiKirill YankovWolfram BurgardTim Welschehold,2024,https://link.springer.com/chapter/10.1007/978-3-031-63596-0_15,Conference paper
Framework for&#xa0;Reducing the&#xa0;Complexity of&#xa0;Programming Robot Skills,Flexible Automation and Intelligent Manufacturing: The Human-Data-Technology Nexus,,,,10.1007/978-3-031-17629-6_62,Michael HofmannMatthias PropstMarkus IkedaAndreas PichlerFabian SpitzerRoman Froschauer,2023,https://link.springer.com/chapter/10.1007/978-3-031-17629-6_62,Conference paper
Automotive Wire Harness Connector Installation Using Skill-Based Robotic Programming,European Robotics Forum 2025,,,,10.1007/978-3-031-89471-8_26,Andreas KernbachDaniel BargmannManuel ZürnCarsten SchmerbeckAlper YamanMara KläbLukas ZehPhilipp TenbrockSamiha DurnagoezMathias MayerArmin LechlerMichael HeizmannAlexander VerlWerner KrausMarco F. Huber,2025,https://link.springer.com/chapter/10.1007/978-3-031-89471-8_26,Conference paper
