Title,Year,DOI
A Neural Model of Coordinated Head and Eye Movement Control,2017,10.1007/s10846-016-0410-8
Emotions and temperament of robots: Behavioral aspects,2014,10.1134/S1064230714050098
Deep-Reinforcement-Learning-Based Semantic Navigation of Mobile Robots in Dynamic Environments,2020,10.1109/case48305.2020.9216798
Action selection within the context of a robotic colony,1999,10.1117/12.360328
Human-Aware Collaborative Robots in the Wild: Coping with Uncertainty in Activity Recognition,2023,10.3390/s23073388
Structural design of soft robotics using a joint structure of photoresponsive polymers,2020,10.1088/1361-665X/ab7f3f
Simulation of a Bio-Inspired Flocking-Based Aggregation Behaviour in Swarm Robotics,2024,10.3390/biomimetics9110668
Elman neural network controller for behavior-based robot,2006,
Anomaly-based intrusion detection using Bayesian networks,2008,10.1109/DepCoS-RELCOMEX.2008.52
Advancement Challenges in UAV Swarm Formation Control: A Comprehensive Review,2024,10.3390/drones8070320
A Behavior-Based Path Planning for Autonomous Vehicle,2010,
Design and implementation of a mechanically heterogeneous robot group,1999,10.1117/12.360332
Anticipation promotes the velocity alignment in collective motion,2024,10.1016/j.physa.2024.129601
Task allocation for reconfigurable teams,2015,10.1016/j.robot.2015.02.001
A user oriented system for developing behavior based agents,1999,
Low cost sensing for autonomous car driving in highways,2007,
Robot's adaptive emotional feedback sustains children's social engagement and promotes their vocabulary learning: a long-term child-robot interaction study,2019,10.1177/1059712319844182
Design and coordination of reactive behaviours for tracking multiple targets in an unstructured environment,2006,10.1109/ICET.2006.335981
Model-based objects recognition in industrial environments for autonomous vehicles control,1997,
Monocular Vision for Intelligent Wheelchair Indoor Navigation Based on Natural Landmark Matching,2010,10.1117/12.885245
Compliant robotic behaviors for satellite servicing,2023,10.3389/frobt.2023.1124207
From behaviour-based robots to motivation-based robots,2005,10.1016/j.robot.2004.10.004
Multi-agent Architecture Model for Driving Mobile Manipulator Robots,2008,
Application of radio frequency identification devices to support navigation of autonomous mobile robots,1997,
History checking of temporal fuzzy logic formulas for monitoring behavior-based mobile robots,2000,10.1109/TAI.2000.889888
Fuzzy Behavior Based Mobile Robot Navigation,2015,
Deformable Robot Behavior based on the Standard Linear Solid Model,2017,
Smart Hot Water Control with Learned Human Behavior for Minimal Energy Consumption,2019,10.1109/wf-iot.2019.8767171
COGNITIVE PERSPECTIVES ON ROBOT BEHAVIOR,2010,
Determination of Age and Gender Based on Features of Human Motion Using AdaBoost Algorithms,2011,10.1007/s12369-010-0089-0
Can development be designed? What we may learn from the Cog Project,1995,
Reduced Behavioral Flexibility by Aberrant Sensory Precision in Autism Spectrum Disorder: A Neurorobotics Experiment,2017,
Adaptive RRTs for validating hybrid robotic control systems,2005,
An evolutionary behavioral model for decision making,2011,10.1177/1059712311419680
Evolution of behaviors in autonomous robot using artificial neural network and genetic algorithm,2003,10.1016/S0020-0255(03)00125-7
Navigation of Multiple Robots in Formative Manner in an Unknown Environment using Artificial Potential Field Based Path Planning Algorithm,2022,10.1016/j.asej.2021.101675
Real-time motion planning in autonomous vehicles: A hybrid approach,2000,
Dynamics parametrically controlled by image correlations organize robot navigation,1996,10.1007/s004220050296
Target-oriented mobile robot behaviors for office navigation tasks,2004,10.1109/WSTFES.2004.1300423
Measurement and control of self-organised behaviour in robot swarms,2007,
Augmenting topology-based maps with geometric information,2002,10.1016/S0921-8890(02)00234-8
Assess team Q-learning algorithm in a purely cooperative multi-robot task,2008,
Learning complex robot behaviours by evolutionary computing with task decomposition,1998,10.1007/3-540-49240-2_11
A constrain and move approach to distributed object manipulation,2001,10.1109/70.928561
Multimedia sensor fusion for intelligent camera control,1996,10.1109/MFI.1996.572243
Surprise versus unsurprise: Implications of emergence in robotics,2001,10.1016/S0921-8890(01)00149-X
The Anatomy of moral agency: A theological and neuroscience inspired model of virtue ethics,2021,10.1049/ccs2.12024
Active detection of anomalous region as primitive processing for visual object segregation,2003,
Adaptable arbitration of behaviours: some simulation results,1998,10.1023/A:1008872013778
Estimating future reward in reinforcement learning animats using associative learning,2004,
Accurate and Versatile Multivariable Arbitrary Piecewise Model Regression of Nonlinear Fluidic Muscle Behavior,2017,
Experiments of formation control with collisions avoidance using the Null-Space-Based Behavioral Control,2006,
An immuno control framework for decentralized mechatronic control,2004,
A Human-Inspired Control Strategy for Improving Seamless Robot-To-Human Handovers,2021,10.3390/app11104437
A behaviour-based manipulator for multi-robot transport tasks,2003,10.1109/ROBOT.2003.1241934
Evaluation of Robots that Signals a Pedestrian Using Face Orientation Based on Moving Trajectory Analysis,2019,10.1109/ro-man46459.2019.8956337
Proposed Methodology for Application of Human-like gradual Multi-Agent Q-Learning (HuMAQ) for Multi-robot Exploration,2014,10.1088/1757-899X/65/1/012016
A Versatile Approach for Adaptive Grid Mapping and Grid Flex-Graph Exploration with a Field-Programmable Gate Array-Based Robot Using Hardware Schemes,2024,10.3390/s24092775
On emergence of group behavior in a genetically controlled autonomous agent system,1998,10.1109/ICEC.1998.699853
Robot windrower is first unmanned harvester,1997,10.1108/01439919710177137
"A Tutorial on Internet of Behaviors: Concept, Architecture, Technology, Applications, and Challenges",2023,10.1109/COMST.2023.3246993
Learning action selection network of intelligent agent,2003,
An intelligent robotic system based on a fuzzy approach,1999,10.1109/5.784220
Abstraction of odor source declaration algorithm from moth-inspired plume tracing strategies,2006,10.1109/ROBIO.2006.340369
Gaze detection as a social cue to initiate natural human-robot collaboration in an assembly task,2024,10.3389/frobt.2024.1394379
"I Know That Now, I'm Going to Learn This Next Promoting Self-regulated Learning with a Robotic Tutor",2018,10.1007/s12369-017-0430-y
Hierarchical learning of navigational behaviors in an autonomous robot using a predictive sparse distributed memory,1998,10.1023/A:1008810406347
Robot learning through observation via coarse-to-fine grained video summarization,2021,10.1016/j.asoc.2020.106913
Synthesized articulated behavior using space-temporal on-line principal component analysis,2007,
Can AI really help? The double-edged sword effect of AI assistant on employees' innovation behavior,2024,10.1016/j.chb.2023.107987
Hybrid system modeling of human driver in the vehicle following task,2007,
Recognizing environments from action sequences using self-organizing maps,2004,10.1016/j.asoc.2003.07.001
Layered mode selection logic control with fuzzy sensor fusion network,2007,10.1117/12.718707
Bayesian inference driven behavior network architecture for avoiding moving obstacles,2005,
Autonomous agents in user interfaces,1999,10.1080/019697299125334
Simulating use cases for the UAH Autonomous Electric Car,2019,
Simulation of football based on PID controller and BP neural network,2021,10.1016/j.micpro.2020.103695
Fuzzy Motivations in a Multiple Agent Behaviour-Based Architecture,2013,10.5772/56578
Improving the activities of a robotic guide by taking into account human reactions,2018,
"The Pransky interview: Dr Rodney Brooks, Robotics Entrepreneur, Founder and CTO of Rethink Robotics",2015,10.1108/IR-10-2014-0406
A behaviour-based Kernel architecture for robot control,1998,
A behavior-based framework for safe deployment of humanoid robots,2021,10.1007/s10514-021-09978-5
An adaptive oscillatory neural architecture for controlling behavior based robotic systems,2010,10.1016/j.neucom.2010.03.026
A new hybrid optimization algorithm for multiple mobile robots navigation based on the CS-ANFIS approach,2015,10.1007/s12293-015-0160-3
An FACL controller architecture for a grasping snake robot,2005,10.1109/IROS.2005.1545486
Controlling the autonomy of a reconnaissance robot,2004,10.1117/12.547270
Behavior-based mobile manipulation for drum sampling,1996,
Self-organization of distributedly represented multiple behavior schemata in a mirror system: reviews of robot experiments using RNNPB,2004,10.1016/j.neunet.2004.05.007
Design and Implementation of Behavior-based Coordination System on Soccer Robot,2017,
Using motor representations for topological mapping and navigation,2002,
Deep Reinforcement Learning for Mapless Navigation of a Hybrid Aerial Underwater Vehicle with Medium Transition,2021,10.1109/ICRA48506.2021.9561188
Practical use of an autonomous decentralized transportation system - architecture of a behavior-based automatic guided vehicle,1999,10.1163/156855399X01279
Learning to perceive the world as articulated: an approach for hierarchical learning in sensory-motor systems,1999,10.1016/S0893-6080(99)00060-X
Flexible Agent Architecture: Mixing Reactive and Deliberative Behaviors in SPADE,2023,10.3390/electronics12030659
Understanding Human Hand Gestures for Learning Robot Pick-and-Place Tasks,2015,10.5772/60093
A behaviour network concept for controlling walking machines,2006,10.1007/4-431-31381-8_21
Robot-to-Human Object Handover using a Behavioural Control Strategy,2018,
Centralized fuzzy behavior control for robot navigation,2003,
Reactive behaviours and agent architecture for Sony legged robots to play football,2001,10.1108/01439910110365421
New AI and service robots,2003,10.1108/01439910310464140
Knowledge or reactivity: Where is the right trade-off for an artificial mind?,1999,10.1109/ROMAN.1999.900305
Smart Energy Management and Low-Power Design of Sensor and Actuator Nodes on Algorithmic Level for Self-Powered Sensorial Materials and Robotics,2011,10.1117/12.888124
CAIR-2 - Intelligent mobile robot for guidance and delivery,1995,
Integrating fuzzy topological maps and fuzzy geometric maps for behavior-based robots,2002,10.1002/int.10025
Moth plume-tracing derived algorithm for identifying chemical source in near-shore ocean environments,2007,
